,type_of_intervention,data_start,date_end,locality,state,country,citation,entered_by,further_notes_comments,Unnamed: 9
358,GS_250,3/13/2020,,alameda_county,CA,USA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-021.aspx,Isra,"Applies to gambling venues, theme parks, theaters",
359,PC,3/13/2020,,alameda_county,CA,USA,https://www.cde.ca.gov/ls/he/hn/distancelearning.asp,Isra,Guidelines for physical closures of schools,
360,CPV,3/16/2020,,alameda_county,CA,USA,https://www.cdph.ca.gov/Programs/OPA/Pages/NR20-024.aspx,Isra,Restrict dine-in options for restaurants/bars,
361,SD,3/19/2020,4/7/2020,alameda_county,CA,USA,https://time.com/5806477/what-is-shelter-in-place/,Isra,"State-wide issue of ""stay at home"" order",
362,NESC,3/19/2020,,alameda_county,CA,USA,https://www.mercurynews.com/2020/03/20/coronavirus-california-stay-home-order-local-bay-area-covid-19-rules/,Isra,Non-essential services closed,
707,CI,3/10/2020,,bergen_county,NJ,USA,https://www.co.bergen.nj.us/public-notices,Dmitry,First known case,
708,CI,3/16/2020,,bergen_county,NJ,USA,https://www.northjersey.com/story/news/coronavirus/2020/03/16/nj-coronavirus-third-nj-coronavirus-death-bergen-county/5064943002/,Dmitry,Saddle Brook man in his 90s becomes NJ's third coronavirus death,
709,CI,3/16/2020,,bergen_county,NJ,USA,https://www.nj.com/healthfit/2020/02/as-the-coronavirus-outbreak-intensifies-over-100-princeton-university-students-are-ordered-to-self-isolate.html,Dmitry,"Fearing coronavirus, Princeton U. orders some students to ‘self-isolate’ after China trips. As many as 108 Princeton students were ordered to self-quarantine as of Sunday, but that number dropped after the New Jersey Department of Health issued a new guidance, which the university is following, Hotchkiss said.",
710,PTQS,,,bergen_county,NJ,USA,https://www.cdc.gov/quarantine/stations/newark.html,Dmitry,The Center for Disease Control and Prevention (CDC) operates a quarantine station in Newark. The station’s jurisdiction includes all ports of entry in New Jersey.,
711,PTQS,2/7/2020,,bergen_county,NJ,USA,https://abc7ny.com/health/coronavirus-concern-12-isolated-on-ship-arriving-in-nj/5910246/,Dmitry,"Four passengers were taken to a hospital Friday after their cruise ship arrived in New Jersey for evaluation for the coronavirus that has sickened more than 20,000 and killed nearly 500, mostly in China.",
712,HQ,20-Mar-20,,bergen_county,NJ,USA,https://philadelphia.cbslocal.com/2020/03/19/coronavirus-andy-kim-coronavirus/,Dmitry,Coronavirus In New Jersey: Rep. Andy Kim To Self-Quarantine After Being Exposed To COVID-19 By Fellow Congressman,
713,HQ,16-Mar-20,,bergen_county,NJ,USA,https://www.northjersey.com/story/news/coronavirus/2020/03/16/nj-coronavirus-edgewater-leonia-tells-students-staff-self-quarantine/5065449002/,Dmitry,"Edgewater, Leonia tell students, staff to self-quarantine after positive coronavirus tests. Students and staff at two Bergen County elementary schools in neighboring towns were told to self-quarantine late Monday after someone in their schools tested positive for coronavirus",
714,SDO,10-Mar-20,,bergen_county,NJ,USA,https://www.co.bergen.nj.us/public-notices,Dmitry,"In order to protect those who may be more susceptible to COVID-19, their families and loved ones, visitation at the Bergen County Health Care Center in Rockleigh, New Jersey, is hereby suspended until further notice.",
715,SD,13-Mar-20,,bergen_county,NJ,USA,https://www.co.bergen.nj.us/public-notices,Dmitry,All workplaces are strongly encouraged to implement and observe CDC workplace social distancing measures,
716,PC,11-Mar-20,,bergen_county,NJ,USA,https://4.files.edl.io/5a08/03/13/20/152745-98639607-4f25-4bdf-a03c-176ef6b0715a.pdf,Dmitry,"the Bergen County Executive has, upon the recommendation of the County Health Officer, directed that the Bergen County Technical Schools and Special Services School Districts close school for all students, effective Wednesday, March 11, 2020",https://www.northjersey.com/story/news/education/in-our-schools/2020/03/10/coronavirus-nj-colleges-canceled-classes-activities/5009104002/
